poll_identifiant;wording;question_number;picture;difficulty
202210;Dans quel Disney apparait le Professeur Ratigan ?;2022101;;1
202210;Quelle acrobatie périlleuse Monsieur Loyal ordonne-t-il de faire à Dumbo ?;2022102;;1
202210;Quel est le nom du ' super méchant ' dans le 2ème volet des Indestructibles ?;2022103;;1
202210;Dans Zootopie, quel animal est Dawn Bellwether ?;2022104;;1
202210;Dans quel Disney apparait Clayton ?;2022105;;1
202210;Qui est l'archidiacre dans Le Bossu de Notre Dame ?;2022106;;1
202210;Qui est la sorcière dans La Belle au Bois Dormant ?;2022107;;2
202210;Comment se prénomment les deux vilaines demi-sœurs de Cendrillon ?;2022108;;2
202210;Qui est Oscar dans le Roi Lion ?;2022109;;2
202210;Comment Crochet a-t-il perdu sa main ?;20221010;;2
202210;Quelle est la célèbre méchante Disney qui veut se fabriquer un manteau en peau de Dalmatiens ?;20221011;;2
202210;Dans le monde aquatique de la Petite Sirène, la méchante Ursula est :;20221012;;2
202210;Qui est le méchant dans Mickey ?;20221013;;3
202210;Dans quel Disney apparaît le méchant ' Léon le Caméléon ' ?;20221014;;3
202210;Dans quel Disney le méchant ' Ours Peluche Lotso ' apparait-il ?;20221015;;3
202210;Qui est la méchante belle-mère de Raiponce ?;20221016;;3
202210;Quelle profession exerce Edgar Balthazar ?;20221017;;3
202210;Dans Pocahontas, de quel état John Ratcliffe est-il le gouverneur ?;20221018;;3
202210;Le nom original de la Méchante Reine dans Blanche-Neige est ' Queen-Witch ';20221019;;4
202210;Shan-Yu est le grand chef de l'armée des Huns envahissant la Chine au début de Mulan;20221020;;4
202210;Le Prince Hans se montre ' méchant ' dès le début dans La Reine des Neiges;20221021;;4
202210;Dans Pinocchio, les deux méchants compères Gédéon et Grand Coquin sont représentés par un chat blanc et un renard;20221022;;4
202210;Dans Bernard et Bianca, Madame Médusa est une prêteuse sur gage;20221023;;4
202210;Les deux démons acolytes à la solde d'Hadès se prénomment Panique et Peur ?;20221024;;4
202210;Dans quel Disney les deux méchants ' Siamois ' de ce GIF apparaissent-ils ?;20221025;les siamois.mp4;5
202210;Dans quel Disney le ' Père Siffleur ' de ce GIF chante-t-il ?;20221026;père siffleur.mp4;5
202210;Dans quel Disney le célèbre méchant Docteur de ce GIF apparait-il ?;20221027;Docteur Facilier.mp4;5
202210;Dans quel Disney le méchant Gaston de ce GIF apparait-il ?;20221028;gaston.mp4;5
202210;Dans quel Disney la reine ' sans cœur ' de ce GIF apparaît-elle ?;20221029;La Reine de Coeur.mp4;5
202210;Dans quel Disney le méchant perroquet de ce GIF apparaît-il ?;20221030;iago.mp4;5
